Cliente,Idade,Plano,Tempo_Contrato_Meses,Mensalidade,Reclamacoes,Chamados_Suporte,Regiao,Churn,Faixa_Etaria,Faixa_Contrato
Cliente 0054,53,Básico,41,63.16,1,0,Centro-Oeste,Não,46-55,37-48
Cliente 0174,27,Básico,12,83.97,1,2,Sudeste,Não,26-35,0-12
Cliente 0437,21,Standard,19,111.7,0,4,Centro-Oeste,Não,18-25,13-24
Cliente 0489,69,Standard,1,105.32,4,1,Sul,Sim,56+,0-12
Cliente 0571,20,Básico,22,79.94,2,2,Sudeste,Não,18-25,13-24
Cliente 0858,29,Standard,23,109.8,2,1,Sudeste,Não,26-35,13-24
Cliente 0921,28,Standard,48,108.31,0,0,Sudeste,Não,26-35,37-48
Cliente 0896,58,Básico,56,73.28,3,0,Sul,Não,56+,49+
Cliente 0467,31,Standard,44,124.56,0,0,Centro-Oeste,Não,26-35,37-48
Cliente 0946,36,Básico,48,72.655,1,3,Sudeste,Não,36-45,37-48
Cliente 0857,39,Básico,22,80.0,8,4,Sudeste,Sim,36-45,13-24
Cliente 0424,63,Standard,37,120.53,0,0,Sudeste,Sim,56+,37-48
Cliente 0986,31,Standard,43,114.04,2,2,Sudeste,Não,26-35,37-48
Cliente 0150,60,Premium,10,172.78,1,0,Sudeste,Não,56+,0-12
Cliente 0517,55,Standard,2,103.18,2,2,Sul,Sim,46-55,0-12
Cliente 0219,54,Básico,57,68.17,5,2,Sudeste,Não,46-55,49+
Cliente 0967,57,Standard,60,112.86,1,0,Nordeste,Não,56+,49+
Cliente 0495,56,Standard,54,124.2,1,2,Sul,Não,56+,49+
Cliente 0640,49,Premium,32,151.36,8,1,Centro-Oeste,Sim,46-55,25-36
Cliente 0465,23,Standard,11,112.63,0,1,Centro-Oeste,Não,18-25,0-12
Cliente 0144,37,Standard,25,124.37,2,5,Sudeste,Sim,36-45,25-36
Cliente 0127,44,Básico,51,77.25,0,0,Nordeste,Não,36-45,49+
Cliente 0153,62,Standard,18,101.87,2,2,Sudeste,Não,56+,13-24
Cliente 0239,66,Standard,49,104.82,1,2,Norte,Não,56+,49+
Cliente 0593,54,Básico,32,78.02,4,5,Sudeste,Sim,46-55,25-36
Cliente 0630,58,Standard,60,109.81,0,0,Sudeste,Não,56+,49+
Cliente 0536,54,Standard,51,120.38,0,0,Nordeste,Sim,46-55,49+
Cliente 0906,36,Básico,8,78.26,0,3,Nordeste,Não,36-45,0-12
Cliente 0248,38,Básico,31,77.37,6,0,Norte,Sim,36-45,25-36
Cliente 0574,69,Básico,24,67.44,0,0,Sudeste,Não,56+,13-24
Cliente 0109,56,Standard,42,102.45,4,0,Centro-Oeste,Não,56+,37-48
Cliente 0384,60,Básico,46,72.31,1,0,Sudeste,Não,56+,37-48
Cliente 0338,52,Standard,50,105.47,1,6,Sudeste,Não,46-55,49+
Cliente 0981,18,Básico,54,64.99,0,3,Nordeste,Sim,18-25,49+
Cliente 0605,29,Básico,52,75.12,1,2,Sudeste,Não,26-35,49+
Cliente 0045,36,Básico,47,77.91,0,0,Sul,Não,36-45,37-48
Cliente 0602,31,Básico,16,81.7,0,4,Centro-Oeste,Não,26-35,13-24
Cliente 0406,69,Básico,45,78.75,2,1,Norte,Não,56+,37-48
Cliente 0802,22,Premium,24,163.15,3,1,Sudeste,Não,18-25,13-24
Cliente 0507,49,Básico,4,63.15,1,0,Norte,Não,46-55,0-12
Cliente 0325,27,Standard,25,100.44,5,3,Sul,Não,26-35,25-36
Cliente 0895,63,Básico,30,78.15,4,0,Nordeste,Não,56+,25-36
Cliente 0169,26,Básico,19,61.92,0,0,Sul,Não,26-35,13-24
Cliente 0138,48,Standard,50,116.8,5,1,Sudeste,Sim,46-55,49+
Cliente 0423,50,Standard,39,102.35,1,2,Norte,Não,46-55,37-48
Cliente 0221,70,Premium,44,151.12,0,2,Sudeste,Sim,56+,37-48
Cliente 0680,68,Premium,18,164.29,1,0,Sudeste,Sim,56+,13-24
Cliente 0226,57,Básico,13,84.44,1,2,Sul,Não,56+,13-24
Cliente 0455,27,Standard,1,101.34,0,1,Sudeste,Sim,26-35,0-12
Cliente 0520,31,Standard,29,107.9,3,5,Centro-Oeste,Não,26-35,25-36
Cliente 0853,61,Básico,33,67.24,1,4,Nordeste,Sim,56+,25-36
Cliente 0628,19,Básico,46,60.22,0,0,Sudeste,Não,18-25,37-48
Cliente 0580,21,Standard,4,112.63,1,4,Sudeste,Não,18-25,0-12
Cliente 0356,28,Premium,30,155.03,2,1,Sul,Não,26-35,25-36
Cliente 0778,57,Básico,16,77.34,1,2,Sudeste,Não,56+,13-24
Cliente 0137,70,Básico,27,66.05,1,1,Sudeste,Sim,56+,25-36
Cliente 0752,25,Básico,17,77.4,2,2,Nordeste,Não,18-25,13-24
Cliente 0964,24,Básico,58,67.43,3,0,Nordeste,Não,18-25,49+
Cliente 0761,22,Standard,1,124.48,0,1,Sul,Sim,18-25,0-12
Cliente 0918,19,Básico,54,81.56,4,4,Sudeste,Sim,18-25,49+
Cliente 0879,46,Básico,7,61.04,1,1,Sudeste,Sim,46-55,0-12
Cliente 0822,28,Standard,15,100.22,0,0,Centro-Oeste,Não,26-35,13-24
Cliente 0912,54,Básico,20,75.86,0,1,Centro-Oeste,Não,46-55,13-24
Cliente 0294,47,Básico,58,67.1,3,0,Sudeste,Sim,46-55,49+
Cliente 0950,45,Básico,45,70.65,0,0,Sudeste,Não,36-45,37-48
Cliente 0916,64,Básico,3,63.18,1,4,Sudeste,Não,56+,0-12
Cliente 0732,26,Básico,33,83.94,0,3,Sudeste,Sim,26-35,25-36
Cliente 0741,69,Básico,44,64.96,2,1,Sul,Não,56+,37-48
Cliente 0011,64,Básico,31,84.42,0,2,Sudeste,Não,56+,25-36
Cliente 0968,57,Standard,42,104.0,2,2,Sudeste,Não,56+,37-48
Cliente 0541,38,Básico,22,76.75,0,2,Nordeste,Não,36-45,13-24
Cliente 0252,43,Standard,15,103.04,1,1,Sudeste,Não,36-45,13-24
Cliente 0208,44,Standard,4,105.61,2,0,Sudeste,Não,36-45,0-12
Cliente 0394,65,Básico,44,69.0,2,8,Sudeste,Não,56+,37-48
Cliente 0637,27,Básico,58,81.15,1,1,Centro-Oeste,Sim,26-35,49+
Cliente 0070,22,Premium,56,155.3,1,7,Sul,Não,18-25,49+
Cliente 0674,29,Básico,15,65.75,0,0,Sul,Não,26-35,13-24
Cliente 0195,48,Básico,41,69.04,0,1,Sudeste,Não,46-55,37-48
Cliente 0650,58,Básico,26,66.84,4,10,Sul,Não,56+,25-36
Cliente 0573,60,Standard,13,102.92,0,0,Sudeste,Não,56+,13-24
Cliente 0768,60,Premium,33,156.17,0,1,Nordeste,Sim,56+,25-36
Cliente 0113,37,Standard,45,100.31,2,2,Sudeste,Sim,36-45,37-48
Cliente 0326,23,Standard,17,123.96,0,0,Sul,Não,18-25,13-24
Cliente 0613,58,Premium,55,160.46,0,0,Sudeste,Não,56+,49+
Cliente 0313,49,Básico,39,67.86,1,4,Nordeste,Sim,46-55,37-48
Cliente 0433,45,Premium,7,173.55,0,7,Sudeste,Sim,36-45,0-12
Cliente 0503,29,Standard,20,109.39,1,1,Sudeste,Sim,26-35,13-24
Cliente 0342,68,Básico,53,80.46,1,12,Sudeste,Não,56+,49+
Cliente 0719,49,Standard,7,117.86,2,2,Sudeste,Sim,46-55,0-12
Cliente 0612,20,Premium,11,153.46,1,4,Sul,Sim,18-25,0-12
Cliente 0892,51,Standard,46,121.29,1,12,Sudeste,Não,46-55,37-48
Cliente 0508,35,Básico,26,62.86,0,0,Centro-Oeste,Não,26-35,25-36
Cliente 0623,39,Standard,16,114.81,1,0,Nordeste,Não,36-45,13-24
Cliente 0442,52,Standard,36,122.09,6,0,Sudeste,Não,46-55,25-36
Cliente 0282,20,Básico,43,72.13,0,3,Sudeste,Não,18-25,37-48
Cliente 0408,54,Standard,51,121.05,0,1,Sudeste,Não,46-55,49+
Cliente 0188,64,Básico,55,80.76,5,12,Sudeste,Não,56+,49+
Cliente 0443,34,Básico,25,62.88,2,1,Sudeste,Não,26-35,25-36
Cliente 0635,30,Básico,40,71.88,0,0,Sul,Não,26-35,37-48
Cliente 0795,58,Standard,7,110.06,2,1,Sudeste,Não,56+,0-12
Cliente 0460,59,Premium,36,154.32,6,2,Centro-Oeste,Sim,56+,25-36
Cliente 0093,65,Standard,26,101.73,1,1,Nordeste,Sim,56+,25-36
Cliente 0411,45,Standard,6,112.63,0,2,Centro-Oeste,Não,36-45,0-12
Cliente 0652,20,Básico,4,63.79,0,0,Sul,Não,18-25,0-12
Cliente 0708,29,Básico,29,79.94,0,1,Sudeste,Não,26-35,25-36
Cliente 0575,29,Premium,3,174.09,1,4,Sudeste,Não,26-35,0-12
Cliente 0987,47,Básico,5,61.1,4,2,Centro-Oeste,Sim,46-55,0-12
Cliente 0504,65,Standard,52,118.93,0,7,Sudeste,Não,56+,49+
Cliente 0687,51,Standard,57,112.12,1,4,Sudeste,Sim,46-55,49+
Cliente 0476,41,Premium,41,150.51,0,5,Sudeste,Não,36-45,37-48
Cliente 0910,57,Standard,44,114.64,2,2,Sudeste,Não,56+,37-48
Cliente 0558,61,Standard,44,118.55,2,0,Sul,Sim,56+,37-48
Cliente 0659,38,Premium,46,171.09,6,2,Sul,Sim,36-45,37-48
Cliente 0131,32,Básico,5,61.71,1,1,Sudeste,Sim,26-35,0-12
Cliente 0917,35,Standard,18,105.85,0,0,Sudeste,Não,26-35,13-24
Cliente 0563,18,Básico,40,80.94,7,0,Sudeste,Sim,18-25,37-48
Cliente 0610,67,Standard,50,101.98,5,12,Sul,Sim,56+,49+
Cliente 0198,66,Premium,57,164.19,4,1,Sudeste,Não,56+,49+
Cliente 0216,31,Standard,22,114.27,4,3,Sul,Não,26-35,13-24
Cliente 0751,64,Básico,39,72.46,1,0,Sudeste,Não,56+,37-48
Cliente 0980,34,Básico,25,73.44,2,1,Norte,Sim,26-35,25-36
Cliente 0998,70,Básico,53,66.99,0,5,Norte,Não,56+,49+
Cliente 0901,48,Básico,40,72.23,0,2,Sudeste,Não,46-55,37-48
Cliente 0482,61,Básico,16,65.52,3,4,Sudeste,Sim,56+,13-24
Cliente 0576,43,Básico,4,68.54,1,0,Sudeste,Sim,36-45,0-12
Cliente 0472,23,Básico,22,66.41,2,5,Sudeste,Sim,18-25,13-24
Cliente 0441,48,Standard,41,122.69,2,4,Sudeste,Sim,46-55,37-48
Cliente 0830,62,Standard,32,111.77,2,0,Sudeste,Não,56+,25-36
Cliente 0682,23,Standard,1,113.01,1,1,Sudeste,Não,18-25,0-12
Cliente 0760,24,Básico,47,71.48,2,2,Sul,Não,18-25,37-48
Cliente 0258,22,Básico,54,72.655,0,2,Sudeste,Não,18-25,49+
Cliente 0764,54,Básico,13,68.95,7,3,Sudeste,Sim,46-55,13-24
Cliente 0429,69,Premium,38,152.63,1,0,Sudeste,Não,56+,37-48
Cliente 0782,21,Básico,2,82.12,0,1,Norte,Sim,18-25,0-12
Cliente 0962,50,Premium,17,156.29,0,5,Centro-Oeste,Não,46-55,13-24
Cliente 0498,34,Premium,50,173.85,1,6,Nordeste,Não,26-35,49+
Cliente 0636,33,Premium,1,150.06,6,12,Sul,Sim,26-35,0-12
Cliente 0491,24,Básico,43,76.03,0,7,Sudeste,Não,18-25,37-48
Cliente 0666,31,Standard,11,103.49,0,7,Sudeste,Não,26-35,0-12
Cliente 0461,40,Premium,12,159.73,0,0,Centro-Oeste,Não,36-45,0-12
Cliente 0077,36,Premium,30,159.24,2,5,Sudeste,Não,36-45,25-36
Cliente 0553,62,Standard,48,102.75,8,1,Sudeste,Sim,56+,37-48
Cliente 0884,53,Standard,45,104.4,0,8,Sudeste,Não,46-55,37-48
Cliente 0890,30,Básico,1,78.24,1,5,Nordeste,Não,26-35,0-12
Cliente 0066,54,Básico,44,73.49,0,1,Sudeste,Não,46-55,37-48
Cliente 0925,58,Standard,30,111.14,1,3,Sudeste,Não,56+,25-36
Cliente 0207,19,Standard,40,102.12,0,6,Sudeste,Não,18-25,37-48
Cliente 0009,67,Básico,13,74.56,3,1,Sul,Não,56+,13-24
Cliente 0078,59,Standard,22,104.87,0,0,Nordeste,Não,56+,13-24
Cliente 0872,50,Premium,56,151.0,3,5,Centro-Oeste,Sim,46-55,49+
Cliente 0059,24,Básico,46,75.02,0,6,Norte,Sim,18-25,37-48
Cliente 0763,52,Básico,42,70.16,3,0,Centro-Oeste,Não,46-55,37-48
Cliente 0473,23,Básico,22,82.29,3,3,Nordeste,Não,18-25,13-24
Cliente 0425,51,Básico,24,70.6,7,5,Sudeste,Sim,46-55,13-24
Cliente 0378,27,Básico,51,77.67,0,11,Sudeste,Sim,26-35,49+
Cliente 0481,30,Standard,38,108.46,0,6,Centro-Oeste,Não,26-35,37-48
Cliente 0497,30,Standard,30,120.33,3,1,Nordeste,Sim,26-35,25-36
Cliente 0632,58,Premium,17,161.56,0,0,Sul,Sim,56+,13-24
Cliente 0970,48,Premium,30,152.18,0,6,Sudeste,Não,46-55,25-36
Cliente 0320,50,Standard,2,106.87,1,0,Sudeste,Não,46-55,0-12
Cliente 0365,57,Standard,3,114.0,1,9,Sudeste,Sim,56+,0-12
Cliente 0413,23,Premium,44,155.91,3,2,Sudeste,Não,18-25,37-48
Cliente 0142,65,Premium,38,174.03,2,0,Sul,Sim,56+,37-48
Cliente 0089,39,Standard,3,104.52,2,0,Sudeste,Não,36-45,0-12
Cliente 0648,50,Premium,36,168.52,0,5,Sul,Sim,46-55,25-36
Cliente 0820,20,Standard,49,101.78,2,5,Sudeste,Não,18-25,49+
Cliente 0813,35,Premium,15,153.65,3,0,Sul,Não,26-35,13-24
Cliente 0324,46,Básico,28,83.33,1,3,Nordeste,Não,46-55,25-36
Cliente 0767,23,Premium,7,158.92,1,10,Sudeste,Não,18-25,0-12
Cliente 0322,49,Standard,5,121.96,2,3,Sul,Sim,46-55,0-12
Cliente 0061,52,Básico,59,68.14,3,2,Sudeste,Não,46-55,49+
Cliente 0487,27,Premium,22,159.73,0,0,Sudeste,Não,26-35,13-24
Cliente 0837,67,Básico,18,72.26,2,2,Sul,Não,56+,13-24
Cliente 0386,49,Básico,46,78.21,2,0,Centro-Oeste,Não,46-55,37-48
Cliente 0420,33,Premium,25,171.22,2,1,Sudeste,Não,26-35,25-36
Cliente 0769,33,Standard,35,112.0,3,1,Sudeste,Não,26-35,25-36
Cliente 0434,37,Premium,28,150.79,0,1,Nordeste,Não,36-45,25-36
Cliente 0302,19,Básico,23,81.37,1,0,Sudeste,Não,18-25,13-24
Cliente 0982,27,Standard,19,123.42,4,2,Nordeste,Não,26-35,13-24
Cliente 0297,21,Premium,8,174.49,0,8,Centro-Oeste,Sim,18-25,0-12
Cliente 0316,27,Standard,11,103.03,1,4,Norte,Sim,26-35,0-12
Cliente 0935,64,Premium,28,158.07,2,4,Sul,Não,56+,25-36
Cliente 0047,66,Básico,43,68.02,0,3,Sul,Sim,56+,37-48
Cliente 0087,23,Premium,29,161.5,0,3,Centro-Oeste,Não,18-25,25-36
Cliente 0110,26,Standard,48,112.63,0,1,Sudeste,Não,26-35,37-48
Cliente 0361,29,Standard,12,108.44,4,3,Sudeste,Sim,26-35,0-12
Cliente 0646,21,Básico,15,72.06,1,2,Centro-Oeste,Sim,18-25,13-24
Cliente 0017,52,Básico,59,76.3,5,4,Sudeste,Sim,46-55,49+
Cliente 0494,55,Básico,54,67.61,1,0,Norte,Não,46-55,49+
Cliente 0816,56,Premium,49,159.82,0,0,Sudeste,Não,56+,49+
Cliente 0194,28,Premium,27,165.35,0,1,Sudeste,Sim,26-35,25-36
Cliente 0960,43,Standard,20,102.69,1,3,Norte,Não,36-45,13-24
Cliente 0629,22,Básico,34,67.18,0,6,Nordeste,Sim,18-25,25-36
Cliente 0868,56,Standard,46,119.67,2,0,Nordeste,Sim,56+,37-48
Cliente 0843,48,Básico,50,73.67,0,2,Nordeste,Sim,46-55,49+
Cliente 0402,20,Básico,55,84.59,1,1,Sudeste,Não,18-25,49+
Cliente 0807,31,Básico,20,68.52,3,0,Centro-Oeste,Sim,26-35,13-24
Cliente 0540,21,Básico,39,79.15,0,1,Sul,Não,18-25,37-48
Cliente 0439,53,Básico,50,67.0,5,2,Centro-Oeste,Não,46-55,49+
Cliente 0141,34,Básico,9,82.87,1,1,Nordeste,Sim,26-35,0-12
Cliente 0199,65,Básico,23,78.85,1,0,Sudeste,Sim,56+,13-24
Cliente 0468,54,Premium,14,158.47,1,0,Norte,Não,46-55,13-24
Cliente 0015,53,Básico,23,60.49,2,0,Sul,Sim,46-55,13-24
Cliente 0088,33,Premium,36,167.27,5,1,Sudeste,Não,26-35,25-36
Cliente 0266,70,Básico,37,81.4,1,0,Sudeste,Sim,56+,37-48
Cliente 0263,43,Standard,33,122.79,0,5,Sul,Sim,36-45,25-36
Cliente 0223,36,Básico,60,77.0,0,1,Sul,Não,36-45,49+
Cliente 0756,62,Básico,57,61.86,2,3,Sudeste,Não,56+,49+
Cliente 0260,22,Básico,56,60.94,1,4,Sul,Não,18-25,49+
Cliente 0004,23,Standard,9,119.65,0,6,Sudeste,Sim,18-25,0-12
Cliente 0355,34,Básico,38,82.41,3,2,Sul,Sim,26-35,37-48
Cliente 0490,46,Premium,43,166.7,0,0,Sudeste,Não,46-55,37-48
Cliente 0616,31,Básico,46,77.4,4,4,Sudeste,Sim,26-35,37-48
Cliente 0474,67,Premium,23,156.59,4,7,Norte,Sim,56+,13-24
Cliente 0662,69,Standard,52,113.28,3,6,Nordeste,Não,56+,49+
Cliente 0140,61,Standard,14,105.13,0,3,Nordeste,Não,56+,13-24
Cliente 0068,45,Básico,52,79.92,0,3,Sudeste,Não,36-45,49+
Cliente 0516,62,Premium,60,174.68,1,7,Centro-Oeste,Não,56+,49+
Cliente 0343,49,Básico,12,60.85,0,7,Sudeste,Sim,46-55,0-12
Cliente 0057,31,Standard,28,119.35,0,6,Sul,Sim,26-35,25-36
Cliente 0305,52,Premium,25,157.33,0,1,Sul,Não,46-55,25-36
Cliente 0746,67,Básico,3,81.71,0,1,Sul,Não,56+,0-12
Cliente 0886,66,Básico,15,79.4,0,9,Sudeste,Sim,56+,13-24
Cliente 0052,70,Básico,36,61.52,5,0,Nordeste,Não,56+,25-36
Cliente 0514,47,Standard,19,121.19,1,4,Nordeste,Não,46-55,13-24
Cliente 0466,18,Básico,15,66.38,4,0,Sudeste,Não,18-25,13-24
Cliente 0531,20,Básico,43,79.56,1,0,Norte,Sim,18-25,37-48
Cliente 0781,34,Standard,20,101.98,0,0,Centro-Oeste,Não,26-35,13-24
Cliente 0306,62,Básico,54,75.85,0,4,Sudeste,Sim,56+,49+
Cliente 0825,69,Standard,20,120.3,3,3,Sul,Não,56+,13-24
Cliente 0435,62,Standard,43,114.51,0,8,Centro-Oeste,Não,56+,37-48
Cliente 0538,42,Básico,54,68.84,1,4,Nordeste,Sim,36-45,49+
Cliente 0696,56,Standard,13,106.86,1,3,Nordeste,Não,56+,13-24
Cliente 0358,36,Básico,12,67.63,0,2,Sudeste,Não,36-45,0-12
Cliente 0187,42,Básico,48,79.31,6,7,Sudeste,Sim,36-45,37-48
Cliente 0556,61,Standard,35,124.49,1,4,Sudeste,Sim,56+,25-36
Cliente 0130,20,Premium,40,170.86,5,1,Sul,Não,18-25,37-48
Cliente 0360,25,Standard,25,118.55,2,1,Nordeste,Sim,18-25,25-36
Cliente 0245,18,Standard,21,112.14,0,1,Nordeste,Não,18-25,13-24
Cliente 0256,47,Básico,8,80.35,5,1,Nordeste,Sim,46-55,0-12
Cliente 0783,38,Básico,52,61.22,3,3,Sul,Sim,36-45,49+
Cliente 0391,47,Standard,11,107.47,1,3,Sudeste,Não,46-55,0-12
Cliente 0721,52,Standard,54,121.25,0,0,Nordeste,Não,46-55,49+
Cliente 0155,67,Básico,7,62.42,1,0,Sul,Não,56+,0-12
Cliente 0372,57,Standard,30,100.22,2,2,Sudeste,Sim,56+,25-36
Cliente 0583,26,Nao informado,46,111.64,1,4,Norte,Não,26-35,37-48
Cliente 0957,40,Básico,26,76.26,1,2,Nordeste,Não,36-45,25-36
Cliente 0159,47,Básico,9,71.51,0,12,Sudeste,Sim,46-55,0-12
Cliente 0766,30,Standard,8,114.9,2,0,Sudeste,Não,26-35,0-12
Cliente 0951,56,Básico,48,82.06,0,5,Sudeste,Não,56+,37-48
Cliente 0272,48,Standard,48,100.24,2,8,Sul,Não,46-55,37-48
Cliente 0485,54,Básico,59,63.77,0,4,Sudeste,Não,46-55,49+
Cliente 0147,24,Básico,42,64.66,0,0,Centro-Oeste,Sim,18-25,37-48
Cliente 0718,23,Standard,56,121.24,3,1,Sudeste,Não,18-25,49+
Cliente 0791,18,Básico,19,72.44,2,1,Nordeste,Não,18-25,13-24
Cliente 0395,61,Standard,6,101.0,0,1,Nordeste,Não,56+,0-12
Cliente 0827,20,Standard,28,107.26,5,4,Sul,Sim,18-25,25-36
Cliente 0419,47,Básico,43,65.04,0,1,Sudeste,Não,46-55,37-48
Cliente 0844,66,Básico,19,70.96,0,1,Sul,Não,56+,13-24
Cliente 0577,58,Standard,26,111.94,0,1,Sudeste,Não,56+,25-36
Cliente 0838,51,Básico,27,83.61,1,6,Sudeste,Não,46-55,25-36
Cliente 0996,52,Básico,17,60.33,0,2,Centro-Oeste,Não,46-55,13-24
Cliente 0900,34,Standard,1,111.36,4,1,Sudeste,Não,26-35,0-12
Cliente 0681,33,Standard,5,119.44,2,5,Centro-Oeste,Não,26-35,0-12
Cliente 0589,59,Standard,18,124.27,5,7,Sudeste,Sim,56+,13-24
Cliente 0291,41,Standard,25,102.61,3,0,Sudeste,Não,36-45,25-36
Cliente 0412,23,Standard,39,121.9,1,6,Sudeste,Sim,18-25,37-48
Cliente 0863,67,Básico,56,62.0,0,1,Sudeste,Não,56+,49+
Cliente 0631,44,Standard,14,101.35,5,1,Norte,Não,36-45,13-24
Cliente 0214,42,Standard,34,106.96,3,1,Sul,Não,36-45,25-36
Cliente 0866,58,Standard,10,116.15,2,2,Sudeste,Não,56+,0-12
Cliente 0359,55,Básico,34,77.58,0,2,Nordeste,Não,46-55,25-36
Cliente 0181,49,Premium,43,160.12,3,4,Sul,Não,46-55,37-48
Cliente 0861,64,Básico,54,82.18,0,0,Sudeste,Não,56+,49+
Cliente 0381,59,Standard,15,105.37,8,0,Nordeste,Sim,56+,13-24
Cliente 0100,48,Standard,30,120.09,0,3,Centro-Oeste,Não,46-55,25-36
Cliente 0874,18,Básico,42,69.86,0,0,Sudeste,Não,18-25,37-48
Cliente 0136,57,Básico,47,79.24,0,0,Sudeste,Não,56+,37-48
Cliente 0177,34,Básico,41,69.49,2,3,Sudeste,Não,26-35,37-48
Cliente 0958,60,Básico,35,84.18,3,3,Sul,Não,56+,25-36
Cliente 0505,68,Básico,38,72.87,1,1,Centro-Oeste,Não,56+,37-48
Cliente 0560,53,Básico,42,82.67,2,10,Sudeste,Não,46-55,37-48
Cliente 0597,26,Standard,55,118.81,1,2,Centro-Oeste,Não,26-35,49+
Cliente 0040,45,Standard,10,112.23,0,0,Centro-Oeste,Sim,36-45,0-12
Cliente 0341,25,Standard,41,102.47,3,1,Centro-Oeste,Sim,18-25,37-48
Cliente 0003,45,Standard,57,114.84,0,1,Sudeste,Não,36-45,49+
Cliente 0452,61,Básico,48,63.03,0,1,Centro-Oeste,Não,56+,37-48
Cliente 0824,59,Premium,25,169.75,2,3,Sudeste,Não,56+,25-36
Cliente 0818,63,Básico,10,84.8,0,4,Sul,Não,56+,0-12
Cliente 0069,22,Básico,13,69.92,2,5,Sudeste,Não,18-25,13-24
Cliente 0209,30,Básico,49,81.47,0,1,Norte,Não,26-35,49+
Cliente 0609,69,Básico,45,64.54,0,0,Sul,Sim,56+,37-48
Cliente 0421,62,Básico,13,65.16,3,0,Centro-Oeste,Não,56+,13-24
Cliente 0254,55,Básico,4,60.5,2,1,Nordeste,Não,46-55,0-12
Cliente 0847,25,Standard,55,101.02,7,5,Sul,Sim,18-25,49+
Cliente 0340,24,Standard,45,106.62,1,5,Sul,Não,18-25,37-48
Cliente 0410,30,Básico,26,66.76,2,0,Nordeste,Não,26-35,25-36
Cliente 0112,61,Standard,51,104.83,1,0,Sul,Sim,56+,49+
Cliente 0225,21,Básico,52,66.23,0,1,Nordeste,Sim,18-25,49+
Cliente 0943,25,Básico,46,68.74,5,8,Sul,Não,18-25,37-48
Cliente 0545,30,Básico,49,76.15,0,1,Nordeste,Sim,26-35,49+
Cliente 0074,37,Básico,27,77.54,0,5,Sudeste,Não,36-45,25-36
Cliente 0048,26,Premium,9,171.18,0,4,Nordeste,Sim,26-35,0-12
Cliente 0639,66,Básico,48,64.33,0,1,Sudeste,Não,56+,37-48
Cliente 0114,58,Premium,51,165.41,5,12,Norte,Sim,56+,49+
Cliente 0097,43,Standard,3,120.53,3,1,Centro-Oeste,Sim,36-45,0-12
Cliente 0738,60,Básico,51,80.4,0,3,Sudeste,Não,56+,49+
Cliente 0215,32,Standard,22,116.39,0,1,Nordeste,Sim,26-35,13-24
Cliente 0570,50,Standard,56,117.66,0,6,Nordeste,Não,46-55,49+
Cliente 0124,46,Premium,40,157.91,2,3,Centro-Oeste,Não,46-55,37-48
Cliente 0107,46,Básico,11,79.19,2,4,Centro-Oeste,Sim,46-55,0-12
Cliente 0596,48,Standard,12,105.74,2,1,Centro-Oeste,Sim,46-55,0-12
Cliente 0018,39,Standard,41,104.07,1,1,Sudeste,Não,36-45,37-48
Cliente 0743,63,Standard,38,121.74,1,4,Centro-Oeste,Não,56+,37-48
Cliente 0099,62,Standard,15,121.12,5,0,Sudeste,Não,56+,13-24
Cliente 0989,20,Standard,57,112.63,2,5,Nordeste,Não,18-25,49+
Cliente 0323,58,Básico,15,68.97,0,0,Sul,Sim,56+,13-24
Cliente 0383,18,Básico,58,78.06,8,7,Sudeste,Não,18-25,49+
Cliente 0366,18,Standard,46,121.41,0,2,Sul,Sim,18-25,37-48
Cliente 0511,25,Standard,29,116.79,0,3,Centro-Oeste,Não,18-25,25-36
